,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Neuron,Replicate,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,NeuronPseudobarcodes,1,1,Rep1_iPSCNeuron_ZC130_R,1,1_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,NeuronPseudobarcodes,1,1,Rep1_iPSCNeuron_ZC130_R,2,2_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,NeuronPseudobarcodes,1,1,Rep1_iPSCNeuron_ZC130_R,3,3_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,NeuronPseudobarcodes,1,1,Rep1_iPSCNeuron_ZC130_R,4,4_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,NeuronPseudobarcodes,1,1,Rep1_iPSCNeuron_ZC130_R,5,5_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_1,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,NeuronPseudobarcodes,1,1,Rep1_iPSCNeuron_ZC130_R,1,1_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_2,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,NeuronPseudobarcodes,1,1,Rep1_iPSCNeuron_ZC130_R,2,2_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_3,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,NeuronPseudobarcodes,1,1,Rep1_iPSCNeuron_ZC130_R,3,3_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_4,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,NeuronPseudobarcodes,1,1,Rep1_iPSCNeuron_ZC130_R,4,4_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_5,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,NeuronPseudobarcodes,1,1,Rep1_iPSCNeuron_ZC130_R,5,5_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,NeuronPseudobarcodes,1,2,Rep2_iPSCNeuron_ZC131_R,1,1_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,NeuronPseudobarcodes,1,2,Rep2_iPSCNeuron_ZC131_R,2,2_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,NeuronPseudobarcodes,1,2,Rep2_iPSCNeuron_ZC131_R,3,3_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,NeuronPseudobarcodes,1,2,Rep2_iPSCNeuron_ZC131_R,4,4_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,NeuronPseudobarcodes,1,2,Rep2_iPSCNeuron_ZC131_R,5,5_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_REF_Barcode_1,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,NeuronPseudobarcodes,1,2,Rep2_iPSCNeuron_ZC131_R,1,1_REF,REF,Rep2_iPSCNeuron_ZC131_R_REF,Rep2_REF,iPSCNeuron_REF
Rep2_iPSCNeuron_ZC131_R_REF_Barcode_2,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,NeuronPseudobarcodes,1,2,Rep2_iPSCNeuron_ZC131_R,2,2_REF,REF,Rep2_iPSCNeuron_ZC131_R_REF,Rep2_REF,iPSCNeuron_REF
Rep2_iPSCNeuron_ZC131_R_REF_Barcode_3,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,NeuronPseudobarcodes,1,2,Rep2_iPSCNeuron_ZC131_R,3,3_REF,REF,Rep2_iPSCNeuron_ZC131_R_REF,Rep2_REF,iPSCNeuron_REF
Rep2_iPSCNeuron_ZC131_R_REF_Barcode_4,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,NeuronPseudobarcodes,1,2,Rep2_iPSCNeuron_ZC131_R,4,4_REF,REF,Rep2_iPSCNeuron_ZC131_R_REF,Rep2_REF,iPSCNeuron_REF
Rep2_iPSCNeuron_ZC131_R_REF_Barcode_5,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,NeuronPseudobarcodes,1,2,Rep2_iPSCNeuron_ZC131_R,5,5_REF,REF,Rep2_iPSCNeuron_ZC131_R_REF,Rep2_REF,iPSCNeuron_REF
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Neuron,NeuronPseudobarcodes,1,3,Rep3_iPSCNeuron_ZC132_R,1,1_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Neuron,NeuronPseudobarcodes,1,3,Rep3_iPSCNeuron_ZC132_R,2,2_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Neuron,NeuronPseudobarcodes,1,3,Rep3_iPSCNeuron_ZC132_R,3,3_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Neuron,NeuronPseudobarcodes,1,3,Rep3_iPSCNeuron_ZC132_R,4,4_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Neuron,NeuronPseudobarcodes,1,3,Rep3_iPSCNeuron_ZC132_R,5,5_ALT,ALT,Rep3_iPSCNeuron_ZC132_R_ALT,Rep3_ALT,iPSCNeuron_ALT
Rep3_iPSCNeuron_ZC132_R_REF_Barcode_1,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Neuron,NeuronPseudobarcodes,1,3,Rep3_iPSCNeuron_ZC132_R,1,1_REF,REF,Rep3_iPSCNeuron_ZC132_R_REF,Rep3_REF,iPSCNeuron_REF
Rep3_iPSCNeuron_ZC132_R_REF_Barcode_2,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Neuron,NeuronPseudobarcodes,1,3,Rep3_iPSCNeuron_ZC132_R,2,2_REF,REF,Rep3_iPSCNeuron_ZC132_R_REF,Rep3_REF,iPSCNeuron_REF
Rep3_iPSCNeuron_ZC132_R_REF_Barcode_3,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Neuron,NeuronPseudobarcodes,1,3,Rep3_iPSCNeuron_ZC132_R,3,3_REF,REF,Rep3_iPSCNeuron_ZC132_R_REF,Rep3_REF,iPSCNeuron_REF
Rep3_iPSCNeuron_ZC132_R_REF_Barcode_4,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Neuron,NeuronPseudobarcodes,1,3,Rep3_iPSCNeuron_ZC132_R,4,4_REF,REF,Rep3_iPSCNeuron_ZC132_R_REF,Rep3_REF,iPSCNeuron_REF
Rep3_iPSCNeuron_ZC132_R_REF_Barcode_5,iPSCNeuron,MPRA,,Rep3,,Rep3_iPSCNeuron_ZC132_R,Neuron,NeuronPseudobarcodes,1,3,Rep3_iPSCNeuron_ZC132_R,5,5_REF,REF,Rep3_iPSCNeuron_ZC132_R_REF,Rep3_REF,iPSCNeuron_REF
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Neuron,NeuronPseudobarcodes,1,4,Rep4_iPSCNeuron_ZC133_R,1,1_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Neuron,NeuronPseudobarcodes,1,4,Rep4_iPSCNeuron_ZC133_R,2,2_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Neuron,NeuronPseudobarcodes,1,4,Rep4_iPSCNeuron_ZC133_R,3,3_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,iPSCNeuron,MPRA,,Rep4,,Rep4_iPSCNeuron_ZC133_R,Neuron,NeuronPseudobarcodes,1,4,Rep4_iPSCNeuron_ZC133_R,4,4_ALT,ALT,Rep4_iPSCNeuron_ZC133_R_ALT,Rep4_ALT,iPSCNeuron_ALT
