,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Allele,Striatum_interaction,Hippocampus_interaction,Cortex_interaction
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_11,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,11,11_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_12,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,12,12_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_13,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,13,13_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_14,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,14,14_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_15,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,15,15_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_16,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,16,16_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_17,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,17,17_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_18,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,18,18_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_19,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,19,19_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_20,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,20,20_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_21,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,21,21_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_22,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,22,22_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_23,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,23,23_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_24,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,24,24_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_25,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,25,25_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_26,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,26,26_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_27,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,27,27_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_28,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,28,28_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_29,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,29,29_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_30,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,30,30_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_31,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,31,31_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_32,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,32,32_ALT,ALT,ZC101R-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT,1,0,1,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_1,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,1,1_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_2,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,2,2_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF,0,0,0,0
