,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,THP1_Monocytes,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_1,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,1,1otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_2,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,2,2otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_3,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,3,3otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_4,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,4,4otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_5,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,5,5otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_6,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,6,6otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_7,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,7,7otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_8,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,8,8otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_9,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,9,9otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_10,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,10,10otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_11,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,11,11otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_12,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,12,12otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_13,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,13,13otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
LPSIFNG_THP1mac_ZC114_R_motif_Barcode_14,THP1_LPSIFNG,Nucleofector,,Macrophage,LPSIFNG_THP1mac_ZC114_R,Immune,THP1_Macrophage,0,0,1,0,0,14,14otif,tif,LPSIFNG_THP1mac_ZC114_R_tif,Macrophage_tif,THP1_LPSIFNG_tif,motif
