,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,THP1_Monocytes,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Naive_THP1mono_ZC113_R_ALT_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3_ALT,ALT,Naive_THP1mono_ZC113_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC113_R_ALT_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4_ALT,ALT,Naive_THP1mono_ZC113_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC113_R_ALT_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5_ALT,ALT,Naive_THP1mono_ZC113_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC113_R_REF_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1_REF,REF,Naive_THP1mono_ZC113_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC113_R_REF_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2_REF,REF,Naive_THP1mono_ZC113_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC113_R_REF_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3_REF,REF,Naive_THP1mono_ZC113_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC113_R_REF_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4_REF,REF,Naive_THP1mono_ZC113_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC113_R_REF_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5_REF,REF,Naive_THP1mono_ZC113_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC37_R_ALT_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1_ALT,ALT,Naive_THP1mono_ZC37_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC37_R_ALT_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2_ALT,ALT,Naive_THP1mono_ZC37_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC37_R_ALT_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3_ALT,ALT,Naive_THP1mono_ZC37_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC37_R_ALT_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4_ALT,ALT,Naive_THP1mono_ZC37_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC37_R_ALT_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5_ALT,ALT,Naive_THP1mono_ZC37_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC37_R_REF_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1_REF,REF,Naive_THP1mono_ZC37_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC37_R_REF_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2_REF,REF,Naive_THP1mono_ZC37_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC37_R_REF_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3_REF,REF,Naive_THP1mono_ZC37_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC37_R_REF_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4_REF,REF,Naive_THP1mono_ZC37_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC37_R_REF_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5_REF,REF,Naive_THP1mono_ZC37_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC60_R_ALT_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1_ALT,ALT,Naive_THP1mono_ZC60_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC60_R_ALT_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2_ALT,ALT,Naive_THP1mono_ZC60_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC60_R_ALT_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3_ALT,ALT,Naive_THP1mono_ZC60_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC60_R_ALT_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4_ALT,ALT,Naive_THP1mono_ZC60_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC60_R_ALT_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5_ALT,ALT,Naive_THP1mono_ZC60_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC60_R_REF_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1_REF,REF,Naive_THP1mono_ZC60_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC60_R_REF_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2_REF,REF,Naive_THP1mono_ZC60_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC60_R_REF_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3_REF,REF,Naive_THP1mono_ZC60_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC60_R_REF_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4_REF,REF,Naive_THP1mono_ZC60_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC60_R_REF_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC60_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5_REF,REF,Naive_THP1mono_ZC60_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC90_R_ALT_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1_ALT,ALT,Naive_THP1mono_ZC90_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC90_R_ALT_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2_ALT,ALT,Naive_THP1mono_ZC90_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC90_R_ALT_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3_ALT,ALT,Naive_THP1mono_ZC90_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC90_R_ALT_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4_ALT,ALT,Naive_THP1mono_ZC90_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC90_R_ALT_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5_ALT,ALT,Naive_THP1mono_ZC90_R_ALT,Monocyte_ALT,THP1_Monocyte_ALT
Naive_THP1mono_ZC90_R_REF_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1_REF,REF,Naive_THP1mono_ZC90_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC90_R_REF_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2_REF,REF,Naive_THP1mono_ZC90_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC90_R_REF_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3_REF,REF,Naive_THP1mono_ZC90_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC90_R_REF_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4_REF,REF,Naive_THP1mono_ZC90_R_REF,Monocyte_REF,THP1_Monocyte_REF
Naive_THP1mono_ZC90_R_REF_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC90_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5_REF,REF,Naive_THP1mono_ZC90_R_REF,Monocyte_REF,THP1_Monocyte_REF
