,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,THP1_Monocytes,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
Naive_THP1mono_ZC111_R_alt2_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC111_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3alt2,lt2,Naive_THP1mono_ZC111_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC111_R_alt2_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC111_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4alt2,lt2,Naive_THP1mono_ZC111_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC111_R_alt2_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC111_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5alt2,lt2,Naive_THP1mono_ZC111_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC111_R_alt3_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC111_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1alt3,lt3,Naive_THP1mono_ZC111_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC111_R_alt3_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC111_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2alt3,lt3,Naive_THP1mono_ZC111_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC111_R_alt3_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC111_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3alt3,lt3,Naive_THP1mono_ZC111_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC111_R_alt3_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC111_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4alt3,lt3,Naive_THP1mono_ZC111_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC111_R_alt3_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC111_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5alt3,lt3,Naive_THP1mono_ZC111_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC112_R_motif_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1otif,tif,Naive_THP1mono_ZC112_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC112_R_motif_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2otif,tif,Naive_THP1mono_ZC112_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC112_R_motif_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3otif,tif,Naive_THP1mono_ZC112_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC112_R_motif_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4otif,tif,Naive_THP1mono_ZC112_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC112_R_motif_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5otif,tif,Naive_THP1mono_ZC112_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC112_R_ref_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1_ref,ref,Naive_THP1mono_ZC112_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC112_R_ref_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2_ref,ref,Naive_THP1mono_ZC112_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC112_R_ref_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3_ref,ref,Naive_THP1mono_ZC112_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC112_R_ref_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4_ref,ref,Naive_THP1mono_ZC112_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC112_R_ref_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5_ref,ref,Naive_THP1mono_ZC112_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC112_R_alt1_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1alt1,lt1,Naive_THP1mono_ZC112_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC112_R_alt1_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2alt1,lt1,Naive_THP1mono_ZC112_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC112_R_alt1_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3alt1,lt1,Naive_THP1mono_ZC112_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC112_R_alt1_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4alt1,lt1,Naive_THP1mono_ZC112_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC112_R_alt1_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5alt1,lt1,Naive_THP1mono_ZC112_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC112_R_alt2_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1alt2,lt2,Naive_THP1mono_ZC112_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC112_R_alt2_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2alt2,lt2,Naive_THP1mono_ZC112_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC112_R_alt2_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3alt2,lt2,Naive_THP1mono_ZC112_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC112_R_alt2_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4alt2,lt2,Naive_THP1mono_ZC112_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC112_R_alt2_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5alt2,lt2,Naive_THP1mono_ZC112_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC112_R_alt3_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1alt3,lt3,Naive_THP1mono_ZC112_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC112_R_alt3_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2alt3,lt3,Naive_THP1mono_ZC112_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC112_R_alt3_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3alt3,lt3,Naive_THP1mono_ZC112_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC112_R_alt3_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4alt3,lt3,Naive_THP1mono_ZC112_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC112_R_alt3_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC112_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5alt3,lt3,Naive_THP1mono_ZC112_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC113_R_motif_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1otif,tif,Naive_THP1mono_ZC113_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC113_R_motif_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2otif,tif,Naive_THP1mono_ZC113_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC113_R_motif_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3otif,tif,Naive_THP1mono_ZC113_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC113_R_motif_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4otif,tif,Naive_THP1mono_ZC113_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC113_R_motif_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5otif,tif,Naive_THP1mono_ZC113_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC113_R_ref_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1_ref,ref,Naive_THP1mono_ZC113_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC113_R_ref_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2_ref,ref,Naive_THP1mono_ZC113_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC113_R_ref_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3_ref,ref,Naive_THP1mono_ZC113_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC113_R_ref_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4_ref,ref,Naive_THP1mono_ZC113_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC113_R_ref_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5_ref,ref,Naive_THP1mono_ZC113_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC113_R_alt1_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1alt1,lt1,Naive_THP1mono_ZC113_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC113_R_alt1_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2alt1,lt1,Naive_THP1mono_ZC113_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC113_R_alt1_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3alt1,lt1,Naive_THP1mono_ZC113_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC113_R_alt1_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4alt1,lt1,Naive_THP1mono_ZC113_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC113_R_alt1_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5alt1,lt1,Naive_THP1mono_ZC113_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC113_R_alt2_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1alt2,lt2,Naive_THP1mono_ZC113_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC113_R_alt2_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2alt2,lt2,Naive_THP1mono_ZC113_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC113_R_alt2_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3alt2,lt2,Naive_THP1mono_ZC113_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC113_R_alt2_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4alt2,lt2,Naive_THP1mono_ZC113_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC113_R_alt2_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5alt2,lt2,Naive_THP1mono_ZC113_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
Naive_THP1mono_ZC113_R_alt3_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1alt3,lt3,Naive_THP1mono_ZC113_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC113_R_alt3_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2alt3,lt3,Naive_THP1mono_ZC113_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC113_R_alt3_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3alt3,lt3,Naive_THP1mono_ZC113_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC113_R_alt3_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4alt3,lt3,Naive_THP1mono_ZC113_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC113_R_alt3_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC113_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5alt3,lt3,Naive_THP1mono_ZC113_R_lt3,Monocyte_lt3,THP1_Monocyte_lt3,Allele
Naive_THP1mono_ZC37_R_motif_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1otif,tif,Naive_THP1mono_ZC37_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC37_R_motif_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2otif,tif,Naive_THP1mono_ZC37_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC37_R_motif_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3otif,tif,Naive_THP1mono_ZC37_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC37_R_motif_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4otif,tif,Naive_THP1mono_ZC37_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC37_R_motif_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5otif,tif,Naive_THP1mono_ZC37_R_tif,Monocyte_tif,THP1_Monocyte_tif,motif
Naive_THP1mono_ZC37_R_ref_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1_ref,ref,Naive_THP1mono_ZC37_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC37_R_ref_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2_ref,ref,Naive_THP1mono_ZC37_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC37_R_ref_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3_ref,ref,Naive_THP1mono_ZC37_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC37_R_ref_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4_ref,ref,Naive_THP1mono_ZC37_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC37_R_ref_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5_ref,ref,Naive_THP1mono_ZC37_R_ref,Monocyte_ref,THP1_Monocyte_ref,Allele
Naive_THP1mono_ZC37_R_alt1_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1alt1,lt1,Naive_THP1mono_ZC37_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC37_R_alt1_Barcode_2,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,2,2alt1,lt1,Naive_THP1mono_ZC37_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC37_R_alt1_Barcode_3,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,3,3alt1,lt1,Naive_THP1mono_ZC37_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC37_R_alt1_Barcode_4,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,4,4alt1,lt1,Naive_THP1mono_ZC37_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC37_R_alt1_Barcode_5,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,5,5alt1,lt1,Naive_THP1mono_ZC37_R_lt1,Monocyte_lt1,THP1_Monocyte_lt1,Allele
Naive_THP1mono_ZC37_R_alt2_Barcode_1,THP1_Monocyte,Nucleofector,,Monocyte,Naive_THP1mono_ZC37_R,Immune,THP1_Monocyte,0,0,0,0,1,1,1alt2,lt2,Naive_THP1mono_ZC37_R_lt2,Monocyte_lt2,THP1_Monocyte_lt2,Allele
