,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Neuron,Control,Replicate,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Control,NeuronControlPseudobarcodes10,1,1,1,Rep1_iPSCNeuron_ZC130_R,1,1_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Control,NeuronControlPseudobarcodes10,1,1,1,Rep1_iPSCNeuron_ZC130_R,2,2_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Control,NeuronControlPseudobarcodes10,1,1,1,Rep1_iPSCNeuron_ZC130_R,3,3_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Control,NeuronControlPseudobarcodes10,1,1,1,Rep1_iPSCNeuron_ZC130_R,4,4_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Control,NeuronControlPseudobarcodes10,1,1,1,Rep1_iPSCNeuron_ZC130_R,5,5_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_6,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Control,NeuronControlPseudobarcodes10,1,1,1,Rep1_iPSCNeuron_ZC130_R,6,6_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_7,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Control,NeuronControlPseudobarcodes10,1,1,1,Rep1_iPSCNeuron_ZC130_R,7,7_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_8,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Control,NeuronControlPseudobarcodes10,1,1,1,Rep1_iPSCNeuron_ZC130_R,8,8_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_9,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Control,NeuronControlPseudobarcodes10,1,1,1,Rep1_iPSCNeuron_ZC130_R,9,9_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_10,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Control,NeuronControlPseudobarcodes10,1,1,1,Rep1_iPSCNeuron_ZC130_R,10,10_ALT,ALT,Rep1_iPSCNeuron_ZC130_R_ALT,Rep1_ALT,iPSCNeuron_ALT
