,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,THP1_Monocytes,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Sex,Striatum,Hippocampus,Cortex,RT_reaction,Allele,Striatum_interaction,Hippocampus_interaction,Cortex_interaction,Parent_Allele,Brain_interaction
IFNB_THP1mac_ZC62_R_REF_Barcode_2,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC62_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,2,2_REF,REF,IFNB_THP1mac_ZC62_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC62_R_REF_Barcode_3,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC62_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,3,3_REF,REF,IFNB_THP1mac_ZC62_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC62_R_REF_Barcode_4,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC62_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,4,4_REF,REF,IFNB_THP1mac_ZC62_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC62_R_REF_Barcode_5,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC62_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,5,5_REF,REF,IFNB_THP1mac_ZC62_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC84_R_ALT_Barcode_1,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,1,1_ALT,ALT,IFNB_THP1mac_ZC84_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC84_R_ALT_Barcode_2,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,2,2_ALT,ALT,IFNB_THP1mac_ZC84_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC84_R_ALT_Barcode_3,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,3,3_ALT,ALT,IFNB_THP1mac_ZC84_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC84_R_ALT_Barcode_4,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,4,4_ALT,ALT,IFNB_THP1mac_ZC84_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC84_R_ALT_Barcode_5,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,5,5_ALT,ALT,IFNB_THP1mac_ZC84_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC84_R_REF_Barcode_1,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,1,1_REF,REF,IFNB_THP1mac_ZC84_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC84_R_REF_Barcode_2,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,2,2_REF,REF,IFNB_THP1mac_ZC84_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC84_R_REF_Barcode_3,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,3,3_REF,REF,IFNB_THP1mac_ZC84_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC84_R_REF_Barcode_4,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,4,4_REF,REF,IFNB_THP1mac_ZC84_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC84_R_REF_Barcode_5,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC84_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,5,5_REF,REF,IFNB_THP1mac_ZC84_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC87_R_ALT_Barcode_1,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,1,1_ALT,ALT,IFNB_THP1mac_ZC87_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC87_R_ALT_Barcode_2,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,2,2_ALT,ALT,IFNB_THP1mac_ZC87_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC87_R_ALT_Barcode_3,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,3,3_ALT,ALT,IFNB_THP1mac_ZC87_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC87_R_ALT_Barcode_4,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,4,4_ALT,ALT,IFNB_THP1mac_ZC87_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC87_R_ALT_Barcode_5,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,5,5_ALT,ALT,IFNB_THP1mac_ZC87_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC87_R_REF_Barcode_1,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,1,1_REF,REF,IFNB_THP1mac_ZC87_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC87_R_REF_Barcode_2,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,2,2_REF,REF,IFNB_THP1mac_ZC87_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC87_R_REF_Barcode_3,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,3,3_REF,REF,IFNB_THP1mac_ZC87_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC87_R_REF_Barcode_4,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,4,4_REF,REF,IFNB_THP1mac_ZC87_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC87_R_REF_Barcode_5,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC87_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,5,5_REF,REF,IFNB_THP1mac_ZC87_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC92_R_ALT_Barcode_1,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,1,1_ALT,ALT,IFNB_THP1mac_ZC92_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC92_R_ALT_Barcode_2,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,2,2_ALT,ALT,IFNB_THP1mac_ZC92_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC92_R_ALT_Barcode_3,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,3,3_ALT,ALT,IFNB_THP1mac_ZC92_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC92_R_ALT_Barcode_4,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,4,4_ALT,ALT,IFNB_THP1mac_ZC92_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC92_R_ALT_Barcode_5,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,5,5_ALT,ALT,IFNB_THP1mac_ZC92_R_ALT,Macrophage_ALT,THP1_IFNB_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNB_THP1mac_ZC92_R_REF_Barcode_1,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,1,1_REF,REF,IFNB_THP1mac_ZC92_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC92_R_REF_Barcode_2,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,2,2_REF,REF,IFNB_THP1mac_ZC92_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC92_R_REF_Barcode_3,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,3,3_REF,REF,IFNB_THP1mac_ZC92_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC92_R_REF_Barcode_4,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,4,4_REF,REF,IFNB_THP1mac_ZC92_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNB_THP1mac_ZC92_R_REF_Barcode_5,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC92_R,Immune,THP1_Macrophage,1.0,0.0,0.0,0.0,0.0,5,5_REF,REF,IFNB_THP1mac_ZC92_R_REF,Macrophage_REF,THP1_IFNB_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNG_THP1mac_ZC59_R_ALT_Barcode_1,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,1,1_ALT,ALT,IFNG_THP1mac_ZC59_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC59_R_ALT_Barcode_2,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,2,2_ALT,ALT,IFNG_THP1mac_ZC59_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC59_R_ALT_Barcode_3,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,3,3_ALT,ALT,IFNG_THP1mac_ZC59_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC59_R_ALT_Barcode_4,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,4,4_ALT,ALT,IFNG_THP1mac_ZC59_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC59_R_ALT_Barcode_5,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,5,5_ALT,ALT,IFNG_THP1mac_ZC59_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC59_R_REF_Barcode_1,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,1,1_REF,REF,IFNG_THP1mac_ZC59_R_REF,Macrophage_REF,THP1_IFNG_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNG_THP1mac_ZC59_R_REF_Barcode_2,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,2,2_REF,REF,IFNG_THP1mac_ZC59_R_REF,Macrophage_REF,THP1_IFNG_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNG_THP1mac_ZC59_R_REF_Barcode_3,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,3,3_REF,REF,IFNG_THP1mac_ZC59_R_REF,Macrophage_REF,THP1_IFNG_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNG_THP1mac_ZC59_R_REF_Barcode_4,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,4,4_REF,REF,IFNG_THP1mac_ZC59_R_REF,Macrophage_REF,THP1_IFNG_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNG_THP1mac_ZC59_R_REF_Barcode_5,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,5,5_REF,REF,IFNG_THP1mac_ZC59_R_REF,Macrophage_REF,THP1_IFNG_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNG_THP1mac_ZC63_R_ALT_Barcode_1,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,1,1_ALT,ALT,IFNG_THP1mac_ZC63_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC63_R_ALT_Barcode_2,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,2,2_ALT,ALT,IFNG_THP1mac_ZC63_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC63_R_ALT_Barcode_3,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,3,3_ALT,ALT,IFNG_THP1mac_ZC63_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC63_R_ALT_Barcode_4,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,4,4_ALT,ALT,IFNG_THP1mac_ZC63_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC63_R_ALT_Barcode_5,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,5,5_ALT,ALT,IFNG_THP1mac_ZC63_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC63_R_REF_Barcode_1,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,1,1_REF,REF,IFNG_THP1mac_ZC63_R_REF,Macrophage_REF,THP1_IFNG_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNG_THP1mac_ZC63_R_REF_Barcode_2,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,2,2_REF,REF,IFNG_THP1mac_ZC63_R_REF,Macrophage_REF,THP1_IFNG_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNG_THP1mac_ZC63_R_REF_Barcode_3,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,3,3_REF,REF,IFNG_THP1mac_ZC63_R_REF,Macrophage_REF,THP1_IFNG_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNG_THP1mac_ZC63_R_REF_Barcode_4,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,4,4_REF,REF,IFNG_THP1mac_ZC63_R_REF,Macrophage_REF,THP1_IFNG_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNG_THP1mac_ZC63_R_REF_Barcode_5,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC63_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,5,5_REF,REF,IFNG_THP1mac_ZC63_R_REF,Macrophage_REF,THP1_IFNG_REF,,,,,,,,,,THP1_Macrophage_REF,0
IFNG_THP1mac_ZC85_R_ALT_Barcode_1,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC85_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,1,1_ALT,ALT,IFNG_THP1mac_ZC85_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC85_R_ALT_Barcode_2,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC85_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,2,2_ALT,ALT,IFNG_THP1mac_ZC85_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC85_R_ALT_Barcode_3,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC85_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,3,3_ALT,ALT,IFNG_THP1mac_ZC85_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
IFNG_THP1mac_ZC85_R_ALT_Barcode_4,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC85_R,Immune,THP1_Macrophage,0.0,1.0,0.0,0.0,0.0,4,4_ALT,ALT,IFNG_THP1mac_ZC85_R_ALT,Macrophage_ALT,THP1_IFNG_ALT,,,,,,,,,,THP1_Macrophage_ALT,0
